epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3993,1.87605,2.97102,2.88511,0.1002,0,0,0,0,0,0,0,0,0.000549052,0.000549052,0.000549052
2,43.5145,1.43592,1.58987,2.08787,0.03449,0,0,0,0,0,0,0,0,0.00109378,0.00109378,0.00109378
3,57.6799,1.32802,1.2921,1.88986,0.03622,0,0,0,0,0,0,0,0,0.00162751,0.00162751,0.00162751
4,71.7013,1.20673,1.15867,1.83284,0.03398,0,0,0,0,0,0,0,0,0.00161749,0.00161749,0.00161749
5,85.6327,1.14078,1.06057,1.75528,0.02871,0,0,0,0,0,0,0,0,0.00160099,0.00160099,0.00160099
6,99.5928,1.15668,1.04533,1.72845,0.03017,0,0,0,0,0,0,0,0,0.00158448,0.00158448,0.00158448
7,113.591,1.1396,1.00775,1.72608,0.02072,0,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
8,127.59,1.05996,0.9474,1.65215,0.02687,0,0,0,0,0,0,0,0,0.00155148,0.00155148,0.00155148
9,141.57,1.04455,0.91004,1.57313,0.02079,0,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
10,155.619,1.09911,0.94661,1.60233,0.02852,0,0,0,0,0,0,0,0,0.00151847,0.00151847,0.00151847
11,169.582,1.04153,0.91629,1.57616,0.02396,0,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
12,183.547,0.94189,0.84263,1.56498,0.02179,0,0,0,0,0,0,0,0,0.00148546,0.00148546,0.00148546
13,197.502,0.94774,0.82561,1.54048,0.01667,0,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
14,211.511,0.96005,0.83542,1.54182,0.0189,0,0,0,0,0,0,0,0,0.00145246,0.00145246,0.00145246
15,225.512,0.89267,0.79875,1.52024,0.01766,0,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
16,239.477,0.91122,0.7944,1.49052,0.01865,0,0,0,0,0,0,0,0,0.00141945,0.00141945,0.00141945
17,253.417,0.94181,0.80771,1.50502,0.02238,0,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
18,267.353,0.92891,0.79932,1.46601,0.02171,0,0,0,0,0,0,0,0,0.00138644,0.00138644,0.00138644
19,281.375,0.91323,0.77983,1.39896,0.02187,0,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
20,295.64,0.86385,0.75129,1.38943,0.01876,0,0,0,0,0,0,0,0,0.00135344,0.00135344,0.00135344
21,309.892,0.86746,0.76458,1.44204,0.01847,0,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
22,324.158,0.85021,0.75058,1.43106,0.01736,0,0,0,0,0,0,0,0,0.00132043,0.00132043,0.00132043
23,338.447,0.80348,0.70358,1.39925,0.01774,0,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
24,352.494,0.81107,0.70904,1.42136,0.01573,0,0,0,0,0,0,0,0,0.00128742,0.00128742,0.00128742
25,366.507,0.77642,0.6709,1.37964,0.01839,0,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
26,380.487,0.79219,0.70316,1.38911,0.01631,0,0,0,0,0,0,0,0,0.00125442,0.00125442,0.00125442
27,394.417,0.80423,0.70695,1.34143,0.01734,0,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
28,408.341,0.79519,0.6843,1.36707,0.01782,0,0,0,0,0,0,0,0,0.00122141,0.00122141,0.00122141
29,422.307,0.7769,0.68696,1.33435,0.0189,0,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
30,436.294,0.75161,0.64922,1.32484,0.01577,0,0,0,0,0,0,0,0,0.0011884,0.0011884,0.0011884
31,450.292,0.75227,0.68264,1.33744,0.01521,0,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
32,464.294,0.74722,0.65459,1.32099,0.01416,0,0,0,0,0,0,0,0,0.0011554,0.0011554,0.0011554
33,478.21,0.72481,0.64211,1.27796,0.01603,0,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
34,492.135,0.75009,0.64239,1.27956,0.01908,0,0,0,0,0,0,0,0,0.00112239,0.00112239,0.00112239
35,506.064,0.7265,0.64475,1.2521,0.01584,0,0,0,0,0,0,0,0,0.00110589,0.00110589,0.00110589
36,520.008,0.73948,0.63774,1.27302,0.01623,0,0,0,0,0,0,0,0,0.00108938,0.00108938,0.00108938
37,533.931,0.7015,0.62617,1.25636,0.01709,0,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
38,547.875,0.72346,0.65578,1.27524,0.01547,0,0,0,0,0,0,0,0,0.00105638,0.00105638,0.00105638
39,561.796,0.69277,0.61104,1.2576,0.01347,0,0,0,0,0,0,0,0,0.00103987,0.00103987,0.00103987
40,575.788,0.68628,0.62008,1.24278,0.01257,0,0,0,0,0,0,0,0,0.00102337,0.00102337,0.00102337
41,589.796,0.6606,0.5948,1.23194,0.01173,0,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
42,604.005,0.64582,0.58099,1.18377,0.01345,0,0,0,0,0,0,0,0,0.000990365,0.000990365,0.000990365
43,618.031,0.68021,0.6111,1.24214,0.01284,0,0,0,0,0,0,0,0,0.000973861,0.000973861,0.000973861
44,632.047,0.67335,0.61088,1.23611,0.01417,0,0,0,0,0,0,0,0,0.000957358,0.000957358,0.000957358
45,646.023,0.65228,0.5782,1.19169,0.01467,0,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
46,660.093,0.65852,0.57857,1.22997,0.01438,0,0,0,0,0,0,0,0,0.000924352,0.000924352,0.000924352
47,674.324,0.6419,0.58513,1.20926,0.01441,0,0,0,0,0,0,0,0,0.000907848,0.000907848,0.000907848
48,688.645,0.65008,0.57638,1.23342,0.01193,0,0,0,0,0,0,0,0,0.000891345,0.000891345,0.000891345
49,702.857,0.63171,0.5753,1.21916,0.01273,0,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
50,717.079,0.63859,0.55557,1.20234,0.01119,0,0,0,0,0,0,0,0,0.000858338,0.000858338,0.000858338
51,731.378,0.64062,0.57067,1.20885,0.01094,0,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
52,745.788,0.62832,0.5538,1.23055,0.01205,0,0,0,0,0,0,0,0,0.000825332,0.000825332,0.000825332
53,760.152,0.61241,0.53708,1.20509,0.01186,0,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
