epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,29.092,0.53323,0.48137,1.14163,0.00824,0,0,0,0,0,0,0,0,0.000549052,0.000549052,0.000549052
2,43.166,0.61081,0.53143,1.17036,0.01082,0,0,0,0,0,0,0,0,0.00109743,0.00109743,0.00109743
3,57.1634,0.64869,0.54572,1.17556,0.0137,0,0,0,0,0,0,0,0,0.00163847,0.00163847,0.00163847
4,71.1553,0.68519,0.59326,1.24959,0.01362,0,0,0,0,0,0,0,0,0.00163399,0.00163399,0.00163399
5,85.199,0.69272,0.58639,1.22568,0.01508,0,0,0,0,0,0,0,0,0.00162299,0.00162299,0.00162299
6,99.2064,0.6564,0.57131,1.22063,0.01219,0,0,0,0,0,0,0,0,0.00161199,0.00161199,0.00161199
7,113.211,0.67323,0.59717,1.24982,0.01352,0,0,0,0,0,0,0,0,0.00160099,0.00160099,0.00160099
8,127.21,0.66981,0.60998,1.20816,0.01335,0,0,0,0,0,0,0,0,0.00158998,0.00158998,0.00158998
9,141.265,0.67228,0.62895,1.23078,0.01207,0,0,0,0,0,0,0,0,0.00157898,0.00157898,0.00157898
10,155.258,0.67095,0.58527,1.21532,0.01301,0,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
11,169.258,0.69561,0.62411,1.236,0.01389,0,0,0,0,0,0,0,0,0.00155698,0.00155698,0.00155698
12,183.276,0.68155,0.58619,1.22738,0.01396,0,0,0,0,0,0,0,0,0.00154598,0.00154598,0.00154598
13,197.318,0.64759,0.55739,1.21751,0.01086,0,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
14,211.319,0.6665,0.59656,1.22859,0.01156,0,0,0,0,0,0,0,0,0.00152397,0.00152397,0.00152397
15,225.326,0.66566,0.56885,1.19919,0.01352,0,0,0,0,0,0,0,0,0.00151297,0.00151297,0.00151297
16,239.321,0.68608,0.57295,1.22469,0.01302,0,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
17,253.333,0.64143,0.58755,1.18647,0.01183,0,0,0,0,0,0,0,0,0.00149096,0.00149096,0.00149096
18,267.342,0.65876,0.57118,1.19209,0.01183,0,0,0,0,0,0,0,0,0.00147996,0.00147996,0.00147996
19,281.364,0.64725,0.57896,1.19011,0.01148,0,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
20,295.368,0.63117,0.56111,1.20979,0.01139,0,0,0,0,0,0,0,0,0.00145796,0.00145796,0.00145796
21,309.372,0.63217,0.57704,1.17902,0.01232,0,0,0,0,0,0,0,0,0.00144696,0.00144696,0.00144696
22,323.423,0.68251,0.58686,1.21117,0.01204,0,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
23,337.484,0.66552,0.57273,1.18632,0.01141,0,0,0,0,0,0,0,0,0.00142495,0.00142495,0.00142495
24,351.507,0.62102,0.55903,1.20545,0.01184,0,0,0,0,0,0,0,0,0.00141395,0.00141395,0.00141395
25,365.503,0.63391,0.53564,1.1712,0.00931,0,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
26,379.522,0.61899,0.553,1.19513,0.01084,0,0,0,0,0,0,0,0,0.00139195,0.00139195,0.00139195
27,393.516,0.60524,0.53239,1.16793,0.01109,0,0,0,0,0,0,0,0,0.00138094,0.00138094,0.00138094
28,407.572,0.63048,0.52732,1.17413,0.01001,0,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
29,421.646,0.63815,0.55493,1.15779,0.01094,0,0,0,0,0,0,0,0,0.00135894,0.00135894,0.00135894
30,435.655,0.59385,0.53751,1.15812,0.00893,0,0,0,0,0,0,0,0,0.00134794,0.00134794,0.00134794
31,449.667,0.57913,0.52286,1.17074,0.00935,0,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
32,463.704,0.5775,0.51205,1.15648,0.00857,0,0,0,0,0,0,0,0,0.00132593,0.00132593,0.00132593
33,477.739,0.58171,0.51096,1.19375,0.00843,0,0,0,0,0,0,0,0,0.00131493,0.00131493,0.00131493
34,491.752,0.6142,0.52844,1.1925,0.00958,0,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
35,505.759,0.59254,0.55195,1.20246,0.01036,0,0,0,0,0,0,0,0,0.00129293,0.00129293,0.00129293
36,519.875,0.58787,0.51907,1.14438,0.00776,0,0,0,0,0,0,0,0,0.00128192,0.00128192,0.00128192
37,533.878,0.61225,0.53196,1.17088,0.01038,0,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
38,547.89,0.62305,0.54664,1.18417,0.01006,0,0,0,0,0,0,0,0,0.00125992,0.00125992,0.00125992
39,561.895,0.6074,0.5516,1.18219,0.00878,0,0,0,0,0,0,0,0,0.00124892,0.00124892,0.00124892
40,575.915,0.5984,0.53893,1.16134,0.00941,0,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
41,589.952,0.59706,0.56427,1.16585,0.00832,0,0,0,0,0,0,0,0,0.00122691,0.00122691,0.00122691
42,603.963,0.61067,0.55993,1.15681,0.0097,0,0,0,0,0,0,0,0,0.00121591,0.00121591,0.00121591
43,617.998,0.63186,0.55019,1.182,0.01106,0,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
44,632.019,0.58154,0.5166,1.14396,0.00888,0,0,0,0,0,0,0,0,0.00119391,0.00119391,0.00119391
45,645.971,0.59227,0.53471,1.15418,0.00889,0,0,0,0,0,0,0,0,0.0011829,0.0011829,0.0011829
46,659.988,0.5888,0.51394,1.11604,0.01021,0,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
47,673.945,0.58302,0.50958,1.14596,0.00938,0,0,0,0,0,0,0,0,0.0011609,0.0011609,0.0011609
48,687.933,0.56776,0.50648,1.12682,0.00883,0,0,0,0,0,0,0,0,0.0011499,0.0011499,0.0011499
49,701.905,0.56818,0.49149,1.14324,0.00819,0,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
50,715.879,0.57651,0.50148,1.1377,0.00894,0,0,0,0,0,0,0,0,0.00112789,0.00112789,0.00112789
51,729.866,0.55788,0.51427,1.14443,0.0101,0,0,0,0,0,0,0,0,0.00111689,0.00111689,0.00111689
52,743.875,0.58292,0.52678,1.15321,0.00902,0,0,0,0,0,0,0,0,0.00110589,0.00110589,0.00110589
53,757.84,0.56128,0.49121,1.13527,0.00771,0,0,0,0,0,0,0,0,0.00109489,0.00109489,0.00109489
54,771.809,0.55396,0.49797,1.11468,0.00908,0,0,0,0,0,0,0,0,0.00108388,0.00108388,0.00108388
