epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3757,1.31901,2.45009,1.33313,0,0,0,0,0,0,0,0.000549052,0.000549052,0.000549052
2,27.9398,1.25603,1.71105,1.26769,0,0,0,0,0,0,0,0.00109378,0.00109378,0.00109378
3,41.4824,1.21961,1.48955,1.2339,0,0,0,0,0,0,0,0.00162751,0.00162751,0.00162751
4,55.0577,1.21861,1.39889,1.24143,0,0,0,0,0,0,0,0.00161749,0.00161749,0.00161749
5,68.6455,1.15533,1.24784,1.20878,0,0,0,0,0,0,0,0.00160099,0.00160099,0.00160099
6,82.4148,1.10309,1.16337,1.17987,0,0,0,0,0,0,0,0.00158448,0.00158448,0.00158448
7,96.3037,1.07652,1.07298,1.18445,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
8,111.179,1.05134,1.03712,1.15161,0,0,0,0,0,0,0,0.00155148,0.00155148,0.00155148
9,124.835,1.03532,0.97437,1.14778,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
10,138.581,1.01401,0.93925,1.1267,0,0,0,0,0,0,0,0.00151847,0.00151847,0.00151847
11,152.262,0.96908,0.89337,1.10464,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
12,165.948,0.94642,0.8757,1.10418,0,0,0,0,0,0,0,0.00148546,0.00148546,0.00148546
13,179.644,0.9515,0.85708,1.09151,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
14,193.335,0.92092,0.83684,1.08607,0,0,0,0,0,0,0,0.00145246,0.00145246,0.00145246
15,207.031,0.89134,0.79365,1.0615,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
16,220.729,0.87613,0.77753,1.06424,0,0,0,0,0,0,0,0.00141945,0.00141945,0.00141945
17,234.409,0.83888,0.73235,1.05824,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
