epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1417,2.03726,3.07999,2.96739,0.10709,0,0,0,0,0,0,0,0,0.000546406,0.000546406,0.000546406
2,75.3217,1.41851,1.75126,2.14385,0.03599,0,0,0,0,0,0,0,0,0.00109116,0.00109116,0.00109116
3,85.6738,1.32556,1.42414,1.98491,0.02999,0,0,0,0,0,0,0,0,0.00162492,0.00162492,0.00162492
4,96.5106,1.23003,1.23277,1.86801,0.0292,0,0,0,0,0,0,0,0,0.00161749,0.00161749,0.00161749
5,106.711,1.16365,1.14467,1.78453,0.02571,0,0,0,0,0,0,0,0,0.00160099,0.00160099,0.00160099
6,116.94,1.14197,1.06485,1.72354,0.02534,0,0,0,0,0,0,0,0,0.00158448,0.00158448,0.00158448
7,127.282,1.08643,0.98842,1.58126,0.03158,0,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
8,137.635,1.02906,0.94733,1.54507,0.03404,0,0,0,0,0,0,0,0,0.00155148,0.00155148,0.00155148
9,148.009,0.99754,0.95972,1.52064,0.02827,0,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
10,158.354,0.94605,0.92375,1.48091,0.02349,0,0,0,0,0,0,0,0,0.00151847,0.00151847,0.00151847
11,168.705,0.94063,0.88756,1.48566,0.02435,0,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
12,179.03,0.93246,0.84679,1.44153,0.01968,0,0,0,0,0,0,0,0,0.00148546,0.00148546,0.00148546
13,189.341,0.90375,0.84716,1.44391,0.01837,0,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
14,199.7,0.86587,0.84421,1.39107,0.01659,0,0,0,0,0,0,0,0,0.00145246,0.00145246,0.00145246
15,210.042,0.87682,0.81667,1.42151,0.01747,0,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
16,220.393,0.88245,0.82694,1.35934,0.01913,0,0,0,0,0,0,0,0,0.00141945,0.00141945,0.00141945
17,230.718,0.82349,0.76857,1.37358,0.01943,0,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
18,241.063,0.80627,0.75985,1.32437,0.0145,0,0,0,0,0,0,0,0,0.00138644,0.00138644,0.00138644
19,251.397,0.81607,0.75758,1.34355,0.01605,0,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
20,261.731,0.80518,0.71972,1.2988,0.01469,0,0,0,0,0,0,0,0,0.00135344,0.00135344,0.00135344
21,272.073,0.79172,0.72464,1.32708,0.01632,0,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
22,282.416,0.76998,0.74715,1.3365,0.01442,0,0,0,0,0,0,0,0,0.00132043,0.00132043,0.00132043
23,292.749,0.76534,0.72037,1.33849,0.01392,0,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
24,303.108,0.79395,0.7341,1.35923,0.01558,0,0,0,0,0,0,0,0,0.00128742,0.00128742,0.00128742
25,313.442,0.75952,0.69812,1.31839,0.01409,0,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
26,323.779,0.74542,0.6864,1.29864,0.0156,0,0,0,0,0,0,0,0,0.00125442,0.00125442,0.00125442
27,334.115,0.7477,0.68837,1.32837,0.01308,0,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
28,344.464,0.76218,0.69664,1.30488,0.01253,0,0,0,0,0,0,0,0,0.00122141,0.00122141,0.00122141
29,354.827,0.76102,0.70184,1.30002,0.01148,0,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
30,365.183,0.69599,0.63458,1.2782,0.01191,0,0,0,0,0,0,0,0,0.0011884,0.0011884,0.0011884
31,375.517,0.73752,0.67469,1.28847,0.01352,0,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
32,385.858,0.71575,0.66651,1.27895,0.01215,0,0,0,0,0,0,0,0,0.0011554,0.0011554,0.0011554
